,time_start,time_peak,time_end,nar,xray_class,is_coincident
1454,2014-03-15 00:20:00,2014-03-15 00:26:00,2014-03-15 00:30:00,12002,C,False
1455,2014-03-18 06:07:00,2014-03-18 06:10:00,2014-03-18 06:12:00,12002,C,False
1456,2014-04-15 13:22:00,2014-04-15 13:26:00,2014-04-15 13:30:00,12036,C,False
1457,2014-04-21 06:53:00,2014-04-21 07:02:00,2014-04-21 07:09:00,12036,C,False
1458,2014-09-10 05:12:00,2014-09-10 05:24:00,2014-09-10 05:32:00,12157,C,False
1459,2014-09-15 00:20:00,2014-09-15 00:27:00,2014-09-15 00:35:00,12157,C,False
1472,2014-01-27 11:08:00,2014-01-27 11:13:00,2014-01-27 11:19:00,11968,C,False
1473,2014-01-29 02:56:00,2014-01-29 03:13:00,2014-01-29 03:22:00,11968,C,False
1474,2014-02-06 07:57:00,2014-02-06 08:01:00,2014-02-06 08:03:00,11968,C,False
1475,2014-02-08 00:28:00,2014-02-08 00:36:00,2014-02-08 00:51:00,11968,C,False
1478,2014-03-23 22:35:00,2014-03-23 22:39:00,2014-03-23 22:45:00,12010,C,False
1479,2014-03-27 20:20:00,2014-03-27 20:29:00,2014-03-27 20:38:00,12010,C,False
1480,2014-03-29 05:57:00,2014-03-29 06:14:00,2014-03-29 06:20:00,12010,C,False
1481,2014-04-02 12:47:00,2014-04-02 12:50:00,2014-04-02 12:53:00,12026,C,False
1495,2014-01-20 17:33:00,2014-01-20 18:00:00,2014-01-20 18:15:00,11959,C,False
1496,2014-03-21 17:57:00,2014-03-21 18:12:00,2014-03-21 18:19:00,12014,C,False
1497,2014-03-24 14:29:00,2014-03-24 14:45:00,2014-03-24 14:53:00,12014,C,False
1498,2014-03-26 10:59:00,2014-03-26 11:02:00,2014-03-26 11:04:00,12014,C,False
1514,2014-02-17 09:29:00,2014-02-17 09:44:00,2014-02-17 09:53:00,11982,C,False
1515,2014-02-20 03:15:00,2014-02-20 03:35:00,2014-02-20 03:57:00,11982,C,False
1516,2014-02-22 09:10:00,2014-02-22 09:18:00,2014-02-22 09:32:00,11982,C,False
1517,2014-02-24 14:44:00,2014-02-24 14:49:00,2014-02-24 14:57:00,11982,C,False
1518,2014-02-28 12:40:00,2014-02-28 13:12:00,2014-02-28 13:38:00,11982,C,False
