,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
4595,21.212239285714286,77.0960238095238,34.19991666666667,33.40171428571428,67.04372619047619,82.38696428571427,0.07270795714285715,0.001036898261904762,3783.9440476190475,27.66802380952381,3.5492250000000003,1505574880952.3809,15.249816666666666,2.4873416666666668e+22,171.63959523809524,3082903214285.7144,4.1275e+21,48.559077380952374,330.6782738095238,16.438575,B,False
4596,72.324,748.9900000000001,39.00233333333333,41.26266666666667,96.598,99.32,-0.12090000000000001,-0.0023636,6424.433333333333,33.681000000000004,4.054966666666666,2242333333333.3335,24.153666666666666,2.6127666666666665e+23,1029.6666666666667,23818333333333.332,1.9122333333333335e+22,38.004333333333335,0.0,3.3847,B,False
4622,106.94808403361343,297.2089075630252,59.16423529411765,56.416613445378154,86.52868907563024,85.63611764705882,0.47231042016806724,-0.012742302521008405,13563.966386554623,49.20797478991597,2.864805882352941,2588484873949.5796,57.870302521008405,1.5066184873949582e+23,341.677731092437,7344515966386.555,5.061840336134454e+21,62.71861344537813,383.9706722689075,6.514870588235294,B,False
4641,180.31439159663867,609.8947058823528,36.74020168067225,43.0773025210084,80.75624369747898,90.42980672268908,-0.12795861260504202,-0.005293808235294119,6608.6596638655465,30.144428571428566,4.278634453781512,5789368907563.025,18.924092436974785,2.963121848739496e+23,1493.4873949579833,24979436974789.914,2.627905882352941e+22,456.65168067226887,8404.448235294118,47.73226890756302,B,False
4642,22.183833333333336,265.31666666666666,50.00233333333333,68.83866666666667,108.67500000000001,110.70166666666667,-0.025013115000000002,-0.00243105,6948.716666666667,40.602999999999994,3.0891333333333333,1680473333333.3333,36.695,8.414933333333334e+22,494.16333333333336,10091416666666.666,5.680000000000001e+21,130.46166666666667,1585.3999999999999,17.765833333333333,B,False
4667,65.09395134453781,691.5579831932776,36.67400840336135,51.93023529411765,109.61764705882351,112.29571428571431,0.307073025210084,0.0018421879579831933,4410.727731092437,30.073268907563026,3.9129697478991594,4576852100840.336,17.339428571428574,1.5702601680672266e+23,1198.129075630252,24642058823529.41,1.7445655462184873e+22,248.96285714285716,2358.093697478991,29.486117647058823,C,False
4675,112.28085714285714,411.83025210084037,49.53199159663866,52.957428571428565,100.02123529411764,99.69336974789915,0.17946651857142853,0.008343726890756303,9098.891596638656,40.927924369747906,3.3995428571428574,3983489915966.3867,39.15957983193278,1.646170588235294e+23,534.6915126050419,12223579831932.773,8.071913445378151e+21,55.07512605042016,979.596638655462,5.734357983193277,B,False
4682,68.31599999999999,474.15941176470585,26.698831932773107,39.00163025210084,107.4294705882353,107.18968907563027,0.01135453361344538,-0.003679684033613445,1783.4084033613444,22.367806722689075,2.83492268907563,3018609243697.479,2.32665294117647,4.438282352941176e+22,585.0057983193277,13209563025210.084,1.1759361344537815e+22,813.9008403361343,0.0,160.46571428571428,B,False
4683,49.610705882352946,736.8358823529411,44.31435294117647,64.28764705882352,117.80705882352943,115.70294117647059,0.5609935294117647,-0.003838705882352941,6042.1705882352935,33.82617647058823,1.6387647058823531,3949470588235.294,25.436764705882354,1.0418176470588235e+23,589.8488235294118,12836941176470.588,7.966641176470589e+21,213.47411764705882,633.03,28.385588235294115,B,False
4693,139.03025210084036,1537.4789915966387,31.689075630252102,42.87478991596638,104.90756302521008,105.80672268907563,-0.03501656638655462,-0.0021179663865546223,3379.4957983193276,25.275630252100843,4.258319327731092,3518915966386.5547,11.162521008403358,2.9421848739495797e+23,2405.294117647059,48894117647058.82,4.268235294117647e+22,1044.4117647058824,3510.4201680672268,86.27647058823528,M,False
4695,128.13318181818184,232.1286363636364,43.38881818181819,59.749500000000005,117.31863636363637,117.72636363636366,0.3457395454545455,0.015465,4743.754545454546,34.211000000000006,3.5193818181818184,5600481818181.818,24.035090909090908,5.214081818181818e+22,367.7249999999999,8371522727272.728,4.803486363636363e+21,71.46618181818181,941.7731818181818,12.211045454545456,B,False
4697,121.70437815126051,298.695462184874,40.897176470588235,63.93543697478991,129.03621848739496,129.71789915966386,0.5254639831932774,0.01303336974789916,3638.830252100841,31.715243697478993,3.1458705882352933,4806112605042.017,19.63364705882352,4.538488235294117e+22,458.11537815126053,9672092436974.79,5.726947899159664e+21,104.74604201680673,365.43236134453775,21.35670420168067,B,False
4701,152.5331176470588,2433.781512605042,37.15042016806724,54.73865546218487,116.70588235294117,117.36134453781513,0.2567731092436975,-0.001850277226890756,4202.941176470588,29.807563025210083,4.376386554621848,9439411764705.883,16.859663865546214,3.628235294117647e+23,2996.9747899159665,63316806722689.08,4.007731092436975e+22,1184.453781512605,4602.605042016807,100.23613445378149,M,False
4703,191.27596638655461,2649.915966386555,41.12436974789916,51.44705882352941,101.4218487394958,106.37647058823529,-0.0543320756302521,0.0020434176470588233,6095.882352941177,34.09831932773109,4.376302521008404,6028142857142.857,25.46806722689076,7.748067226890756e+23,4505.63025210084,90408403361344.53,6.275462184873951e+22,813.344537815126,15084.873949579833,41.36302521008403,M,False
4712,4.6335273697479,70.72030252100839,33.3801512605042,60.206840336134455,135.76243697478992,135.55462184873946,0.6231233781512606,-0.0006795094705882354,1804.852100840336,23.814789915966387,1.0333428571428571,425004605042.0168,7.25587756302521,2.930322521008404e+21,49.644605042016806,1148222352941.1765,6.383968907563025e+20,0.0,0.0,0.0,B,False
4721,403.4381512605042,3436.4420168067236,43.97990756302521,54.285697478991594,105.96478991596639,107.31882352941177,0.17613078151260503,-0.004242426050420168,8621.421848739496,37.33170588235294,4.562468907563026,12298490756302.521,30.978890756302523,1.089564705882353e+24,4385.331932773109,90983764705882.36,6.097704201680673e+22,1025.1924369747899,20408.28823529412,43.63419327731093,C,False
4725,56.77475,189.90125,48.56198611111111,49.990138888888886,91.2602361111111,92.6872361111111,0.04527540694444444,0.0076777375,8254.222222222223,41.04768055555556,1.9581055555555555,1180033333333.3333,39.83006944444444,8.158613888888889e+22,260.3479166666666,6235505555555.556,4.4683125e+21,21.274833333333333,0.0,2.8711708333333332,B,False
4727,38.71325210084034,218.39647058823527,51.72590756302522,60.91718487394958,100.01233613445376,101.61676470588237,0.2709828151260505,0.01038947142857143,7589.869747899159,40.34059663865546,2.2276210084033616,657395126050.4202,41.00288235294118,3.796629411764707e+22,150.42378151260505,3427563865546.2183,2.280014285714286e+21,5.227781512605042,0.0,0.9866831932773109,B,False
4733,25.745747478991593,540.4057983193277,28.590478991596637,41.2643781512605,105.82442857142858,107.32050420168066,-0.11438489327731093,0.0004178776470588235,2139.6453781512605,23.306285714285718,3.524101680672269,2708929075630.252,6.021630252100841,7.9223e+22,985.948487394958,20692042016806.723,1.7848840336134455e+22,121.17406722689077,627.7431932773109,28.140638655462187,C,False
4734,187.48168067226894,2288.9915966386557,42.98739495798319,37.45126050420168,68.0873949579832,76.78823529411764,-0.043594201680672275,0.001391890756302521,10271.848739495797,35.231932773109236,2.1643697478991597,5171974789915.967,30.500840336134456,1.522268907563026e+24,4398.235294117647,78158823529411.77,7.874705882352942e+22,600.7394957983194,26195.798319327732,26.52773109243697,M,False
4737,75.92405882352942,176.63025210084032,30.621848739495803,31.252605042016807,59.312605042016806,71.38991596638657,-0.5007159663865546,0.007038361344537815,4109.625210084034,27.091176470588234,3.6313445378151266,3534462100840.336,16.45579831932773,5.105455823529411e+22,261.4350176470588,4298509579831.9326,5.481685596638655e+21,31.46773109243697,2454.3252100840336,5.739243697478992,M,False
4739,105.58180735294117,651.9316176470589,58.98086764705883,73.49194117647058,107.40308823529413,113.15382352941177,0.12731606338235293,-0.00509047380882353,10743.873529411765,48.012455882352945,4.304757352941175,2370257352941.1763,50.172617647058814,2.9946808823529405e+23,1191.6760294117648,26431147058823.53,1.1610854411764706e+22,162.79941176470587,11491.141176470588,11.360058823529412,C,False
4741,320.5365546218487,810.3084873949579,53.29833613445378,59.88768067226889,96.98576470588236,101.67536974789917,0.1577676747899159,-0.01211180336134454,13704.42857142857,45.456672268907575,4.329341176470588,11258785714285.715,48.20822689075631,4.8059915966386554e+23,1339.5084033613446,26322588235294.117,1.7839126050420166e+22,247.9823529411765,6778.603361344538,15.696546218487399,B,False
4743,13.553566666666669,457.49333333333334,43.27766666666667,62.68166666666667,120.53000000000002,116.63,0.25356666666666666,0.0017485733333333332,7043.833333333333,32.910333333333334,1.5202666666666669,1395633333333.3333,24.840666666666664,7.270333333333334e+22,330.96,7662666666666.667,4.9059e+21,0.0,0.0,0.0,B,False
4744,7.440452403361345,485.6427731092436,47.63594117647058,68.61658823529412,120.98747899159663,119.47436974789915,0.5396040336134454,0.001334325808403361,7470.231932773109,33.60665546218487,0.5147369747899161,1515764705882.353,30.49689915966387,5.166886554621849e+22,224.8523529411765,5001676470588.235,3.296036974789916e+21,0.0,0.0,0.0,B,False
