,Unnamed: 0,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
5364,5364,17.44832711864407,391.92016949152537,28.59584745762712,31.99016949152543,70.63069491525422,72.44577966101696,-0.24336559322033902,-0.0005531047966101693,2588.3864406779653,22.991372881355932,3.6120745762711857,3922262711864.407,6.961466101694916,1.056907966101695e+23,876.553220338983,17251271186440.678,2.0690050847457633e+22,147.73949152542372,198.80508474576268,28.65391525423729,C,False
5367,5367,18.022554915254236,537.7238983050847,38.27562711864408,41.263847457627115,94.71289830508476,95.74394915254236,-0.08553172033898307,0.0005908315762711865,6096.862711864407,32.73310169491525,3.8710627118644063,1305872542372.881,22.91450847457627,1.615693220338983e+23,685.1447457627119,15716016949152.545,1.236698305084746e+22,0.0,0.0,0.0,B,False
5371,5371,36.479288474576265,574.552372881356,29.08349152542373,41.4627966101695,108.79389830508477,109.77118644067795,-0.08711547457627118,0.0007724768983050846,1976.1338983050848,24.292203389830505,3.3286271186440684,2770030677966.1016,6.294927118644067,7.004528813559321e+22,919.0423728813561,20360593220338.984,1.6415254237288136e+22,103.97650847457626,387.8310169491525,37.18405084745764,C,False
5373,5373,210.80152542372883,2297.4576271186443,42.86779661016949,36.44237288135593,66.8457627118644,76.95084745762709,-0.03599305084745763,0.0017183779661016946,10255.42372881356,35.2542372881356,0.1423728813559322,4684203389830.509,30.23050847457627,1.5074576271186445e+24,4301.5254237288145,74023728813559.33,7.89542372881356e+22,640.1694915254237,29440.677966101695,29.63389830508475,M,False
5377,5377,8.928431118644069,189.75203389830503,39.128305084745776,64.01028813559321,128.3320338983051,128.16915254237293,0.5481567796610168,-0.0016870455779661015,4739.411864406779,29.91867796610169,2.8787542372881365,1680768305084.7458,16.148559322033893,3.445696610169492e+22,262.3030508474576,5320922033898.305,3.787232203389831e+21,199.1301694915254,274.70627118644063,31.58869491525424,B,False
5378,5378,122.67796610169492,211.54237288135596,34.572881355932196,33.84915254237288,67.39830508474577,76.86271186440679,-0.5818813559322034,0.010268983050847455,4903.898305084746,28.11186440677966,3.51864406779661,5604745762711.863,16.233898305084747,7.715423728813558e+22,402.864406779661,6627288135593.222,8.531186440677966e+21,1.8581355932203392,6.7152542372881365,1.0511864406779658,M,False
5379,5379,81.161125,525.8675,59.091,73.598,110.5825,114.7625,0.2118205,-0.004768212500000001,6258.125,46.87649999999999,4.07185,2622087500000.0,46.49475,1.4062875e+23,918.09625,21340250000000.0,8.1015125e+21,138.45499999999998,6175.8625,13.19975,C,False
5381,5381,289.79593220338984,832.628813559322,54.68338983050848,62.673254237288134,98.05444067796611,103.07223728813558,0.21837515254237289,-0.011084976271186438,14032.5593220339,46.456881355932204,4.418671186440678,10275567796610.17,50.03640677966103,4.859166101694916e+23,1365.0677966101696,26963237288135.594,1.7285779661016946e+22,235.29033898305087,8702.835593220341,14.49908474576271,B,False
5383,5383,83.24037288135592,331.1464406779661,47.54428813559322,69.16835593220338,122.56440677966101,122.21979661016951,0.4962552542372881,-0.013595333898305086,3948.803389830509,36.743813559322035,3.194372881355932,3858044067796.6094,28.262728813559324,3.230410169491525e+22,296.47796610169496,6206888135593.222,3.421386440677966e+21,40.91030508474577,68.08881355932203,9.37284406779661,B,False
5384,5384,5.721766542372881,479.4783050847458,47.496,68.24086440677965,120.19101694915254,118.44610169491524,0.5113066101694915,0.0008298681559322032,7558.561016949153,33.47413559322034,0.3657033898305085,1516176610169.4917,29.91622033898305,5.530969491525424e+22,241.58101694915248,5430355932203.39,3.4764694915254227e+21,0.0,0.0,0.0,B,False
5389,5389,11.058948764705882,54.79685294117648,27.506088235294122,29.125294117647055,64.63873529411765,81.89841176470588,0.1702596382352941,0.0010118548058823528,2048.6147058823526,22.517264705882354,2.7841235294117648,1226528500000.0,7.913158823529409,2.298126470588235e+22,178.24558823529406,3925311764705.882,5.518194117647058e+21,57.069176470588246,1577.3291176470586,13.833120588235294,B,False
5392,5392,2021.1864406779666,1846.2711864406774,51.781355932203375,59.37288135593218,87.75084745762713,104.67796610169492,0.0273893220338983,-0.028986440677966106,16754.237288135595,46.41525423728814,5.186779661016949,74398305084745.77,47.054237288135575,1.5525423728813555e+24,5068.4745762711855,81274576271186.44,5.3777966101694916e+22,220.86440677966098,196711.8644067797,7.189322033898304,X,False
5394,5394,69.99321016949153,386.5913559322034,31.847525423728808,33.97206779661016,75.40201694915253,78.55003389830509,0.0031100491525423717,-0.00282460372881356,3839.0254237288127,25.788813559322033,3.5344576271186443,4593270677966.102,12.706474576271185,1.2424186440677966e+23,735.125254237288,15088881355932.205,1.6314440677966104e+22,90.30094915254236,368.27932203389815,12.11984406779661,C,False
5396,5396,182.83898305084745,648.707966101695,47.95354237288136,57.92713559322035,105.27698305084743,104.66291525423729,0.5125096610169491,-0.009433505084745764,5763.927118644067,39.56054237288135,3.2978050847457623,5833689830508.475,34.587932203389826,1.5016033898305085e+23,819.8984745762712,20092355932203.39,1.0917e+22,80.14510169491524,273.5742372881356,8.757122033898307,B,False
5397,5397,152.57759322033894,947.1893220338983,35.969593220338986,35.277864406779656,84.73950847457628,88.89730508474572,-0.17664093762711866,0.0033620508474576268,7488.22033898305,30.821525423728808,4.055640677966101,7200835593220.339,20.609694915254238,4.537947457627119e+23,1451.3898305084747,30178372881355.93,3.097137288135593e+22,45.64325423728814,5034.759322033898,3.2986479661016954,C,False
5398,5398,6.0878732705882355,25.725278235294123,57.31705882352942,64.94682352941176,106.85182352941177,107.68005882352942,-0.3137370588235295,-0.0038504774117647063,3335.5917647058827,44.43247058823529,2.7877,492033229411.7647,39.87441176470588,5.085956015882352e+21,44.48575809411764,1269293626470.588,4.014291847058824e+20,0.0,0.0,0.0,C,False
5403,5403,14.385291525423726,187.94830508474573,54.42711864406781,79.61061016949152,122.9793220338983,123.43728813559322,-0.17758367796610172,0.002028592372881356,4300.227118644068,40.97654237288136,3.2637627118644064,1339726271186.441,35.2577627118644,3.5918881355932205e+22,337.6193220338983,7620727118644.067,3.1712e+21,77.03335593220339,644.4042372881357,15.93824406779661,B,False
5406,5406,343.91525423728814,321.2033898305085,51.40000000000001,78.56610169491525,115.52542372881358,124.54237288135592,0.190714406779661,0.03296440677966102,9796.77966101695,41.3457627118644,4.2579661016949135,12562711864406.78,39.655932203389845,1.356271186440678e+23,858.9830508474578,14067796610169.492,6.915084745762713e+21,92.32881355932206,10825.42372881356,9.250169491525426,M,False
5408,5408,82.3726779661017,704.2781355932202,46.8424745762712,56.861881355932205,106.09779661016951,106.10847457627119,0.3916981016949153,0.005217335593220338,7116.733898305086,38.053728813559324,3.633598305084746,3403273389830.5083,33.618610169491525,1.5071525423728812e+23,751.0508474576271,16704966101694.914,9.156494915254236e+21,35.7692372881356,551.6198305084747,4.114338983050848,C,False
5412,5412,86.54713559322033,769.8577966101693,51.31377966101695,79.09366101694916,130.03322033898306,129.28644067796608,0.5366303389830508,-0.004741347457627118,6031.316949152541,38.07722033898306,3.841884745762712,5259344067796.61,32.376271186440675,1.457620338983051e+23,1069.2801694915256,21380237288135.594,1.0701559322033896e+22,192.2228813559322,4202.964406779662,18.114033898305077,C,False
5414,5414,28.186733898305093,129.18813559322032,48.28759322033899,82.15010169491525,133.0677966101695,133.695593220339,-0.10820429830508477,-0.006372116440677966,4783.225423728814,36.884745762711866,2.8656576271186447,773441915254.2373,29.15845762711865,2.7718644067796613e+22,281.4416949152542,5771844067796.61,2.71852372881356e+21,107.28574576271187,535.9150847457628,20.496203389830505,C,False
5415,5415,6.824006762711863,190.50542372881355,38.77030508474577,38.487406779661015,84.00042372881356,85.07403389830509,0.026865289830508475,-0.0005852221474576271,6514.067796610168,32.82508474576271,3.4152101694915253,982524576271.1864,24.18889830508475,8.09483220338983e+22,296.63932203389834,6103788135593.222,6.216605084745763e+21,0.0,0.0,0.0,B,False
5417,5417,108.75200000000001,324.1745762711865,35.72137288135593,46.965457627118646,112.36203389830507,111.7081355932203,-0.07285102881355933,-0.010080661016949152,4658.57627118644,29.770745762711872,2.8963288135593217,1729971355932.2034,17.742779661016947,6.7190661016949155e+22,468.2106779661017,9826342372881.355,6.802184745762713e+21,0.0,0.0,0.0,B,False
5418,5418,12.71235304347826,28.02686956521739,37.587695652173906,53.46817391304348,121.57095652173912,127.42273913043478,-0.4269364347826087,-0.0055947421739130435,2535.5869565217395,29.04069565217392,2.3652956521739132,916532608695.6522,15.586186956521738,6.281973913043479e+21,91.3581304347826,1958395217391.3044,1.1233778260869564e+21,0.0,0.0,0.0,C,False
5422,5422,47.07811864406779,316.3011864406779,44.99496610169491,32.78422033898305,59.77245762711865,74.85777966101693,-0.17775831016949156,0.00395896779661017,8411.30338983051,38.96372881355932,4.19065593220339,1855073220338.9832,34.6444406779661,1.3665372881355934e+23,530.5861016949153,7781037288135.593,9.392433898305085e+21,410.21355932203386,1315.0583559322035,85.47092711864407,C,False
5423,5423,20.22552081081081,324.72135135135136,40.82562162162162,64.23256756756756,122.03054054054054,123.257027027027,-0.1449490908108108,-0.00011546108108108118,4344.189189189189,32.52764864864866,3.179448648648649,1185171810810.8108,19.23908108108108,6.7407621621621625e+22,583.3745945945947,11915486486486.484,7.702927027027026e+21,159.23837837837837,1598.4054054054056,20.891135135135134,B,False
