,time_start,time_peak,time_end,nar,xray_class
170,2011-07-03 12:24:00,2011-07-03 12:42:00,2011-07-03 12:48:00,11244,B
171,2021-06-08 03:36:00,2021-06-08 03:48:00,2021-06-08 03:54:00,12830,B
172,2010-11-25 00:36:00,2010-11-25 00:50:00,2010-11-25 00:54:00,11128,B
173,2016-09-10 13:36:00,2016-09-10 13:39:00,2016-09-10 13:50:00,12585,B
174,2021-07-09 02:36:00,2021-07-09 02:44:00,2021-07-09 02:49:00,12840,B
175,2017-07-09 19:24:00,2017-07-09 19:33:00,2017-07-09 19:38:00,12665,B
176,2014-01-24 05:12:00,2014-01-24 05:19:00,2014-01-24 05:22:00,11957,B
177,2021-09-21 12:24:00,2021-09-21 12:38:00,2021-09-21 12:44:00,12871,B
178,2015-05-02 16:36:00,2015-05-02 16:49:00,2015-05-02 17:00:00,12335,B
179,2017-08-16 10:00:00,2017-08-16 10:15:00,2017-08-16 10:21:00,12671,B
180,2016-04-08 16:00:00,2016-04-08 16:14:00,2016-04-08 16:18:00,12529,B
181,2017-08-31 16:36:00,2017-08-31 16:44:00,2017-08-31 16:47:00,12672,B
182,2015-03-10 13:36:00,2015-03-10 13:48:00,2015-03-10 13:50:00,12297,B
183,2019-01-29 06:36:00,2019-01-29 06:41:00,2019-01-29 06:45:00,12733,B
184,2013-09-04 11:36:00,2013-09-04 11:49:00,2013-09-04 11:53:00,11837,B
185,2017-06-18 09:00:00,2017-06-18 09:21:00,2017-06-18 09:32:00,12663,B
186,2010-11-05 03:12:00,2010-11-05 03:21:00,2010-11-05 03:29:00,11121,B
187,2016-06-16 00:12:00,2016-06-16 00:25:00,2016-06-16 00:34:00,12553,B
188,2016-08-30 02:36:00,2016-08-30 02:45:00,2016-08-30 02:51:00,12585,B
189,2021-04-20 04:12:00,2021-04-20 04:25:00,2021-04-20 04:29:00,12817,B
190,2011-01-24 00:48:00,2011-01-24 00:53:00,2011-01-24 00:57:00,11147,B
191,2013-09-07 03:48:00,2013-09-07 04:01:00,2013-09-07 04:09:00,11837,B
192,2012-10-31 13:00:00,2012-10-31 13:11:00,2012-10-31 13:18:00,11598,B
193,2017-09-29 13:24:00,2017-09-29 13:31:00,2017-09-29 13:38:00,12682,B
194,2010-09-29 09:24:00,2010-09-29 09:37:00,2010-09-29 09:41:00,11110,B
195,2015-11-21 17:00:00,2015-11-21 17:11:00,2015-11-21 17:14:00,12454,B
196,2010-10-24 12:48:00,2010-10-24 13:05:00,2010-10-24 13:25:00,11117,B
197,2013-07-23 03:12:00,2013-07-23 03:22:00,2013-07-23 03:35:00,11801,B
198,2015-09-13 05:12:00,2015-09-13 05:24:00,2015-09-13 05:33:00,12414,B
199,2012-07-02 02:48:00,2012-07-02 02:54:00,2012-07-02 02:57:00,11515,B
200,2016-11-21 00:24:00,2016-11-21 00:27:00,2016-11-21 00:30:00,12610,B
201,2016-01-05 23:24:00,2016-01-05 23:37:00,2016-01-05 23:38:00,12476,B
202,2010-05-04 11:00:00,2010-05-04 11:18:00,2010-05-04 11:32:00,11069,B
203,2010-05-12 02:00:00,2010-05-12 02:22:00,2010-05-12 02:29:00,11067,B
204,2017-04-19 16:24:00,2017-04-19 16:36:00,2017-04-19 16:39:00,12651,B
205,2017-08-27 06:00:00,2017-08-27 06:07:00,2017-08-27 06:12:00,12671,B
206,2021-05-31 03:48:00,2021-05-31 04:03:00,2021-05-31 04:07:00,12827,B
207,2010-11-07 23:48:00,2010-11-07 23:58:00,2010-11-08 00:00:00,11121,B
208,2016-05-17 07:48:00,2016-05-17 07:54:00,2016-05-17 07:57:00,12542,B
209,2011-01-10 20:36:00,2011-01-10 21:06:00,2011-01-10 21:12:00,11140,B
210,2019-03-25 06:48:00,2019-03-25 07:23:00,2019-03-25 07:27:00,12736,B
211,2021-06-12 17:12:00,2021-06-12 17:17:00,2021-06-12 17:25:00,12833,B
212,2016-02-24 16:36:00,2016-02-24 16:46:00,2016-02-24 16:49:00,12506,B
213,2020-09-25 22:48:00,2020-09-25 22:56:00,2020-09-25 23:05:00,12773,B
