,time_start,time_peak,time_end,nar,xray_class
87,2012-07-31 23:54:00.0,2012-07-31 23:59:00.0,2012-08-01 00:04:00.0,11536,C1.3
88,2021-09-24 20:19:00.0,2021-09-24 20:23:00.0,2021-09-24 20:27:00.0,12875,B2.4
89,2013-04-23 13:18:00.0,2013-04-23 13:21:00.0,2013-04-23 13:24:00.0,11726,B8.8
90,2021-09-11 07:15:00.0,2021-09-11 07:28:00.0,2021-09-11 07:38:00.0,12869,B6.8
91,2015-08-23 18:56:00.0,2015-08-23 19:07:00.0,2015-08-23 19:27:00.0,12403,C3.9
92,2014-01-27 08:07:00.0,2014-01-27 08:23:00.0,2014-01-27 08:40:00.0,11968,C6.0
93,2014-09-06 05:56:00.0,2014-09-06 06:18:00.0,2014-09-06 06:44:00.0,12157,C2.4
94,2021-01-20 12:35:00.0,2021-01-20 12:53:00.0,2021-01-20 12:59:00.0,12798,C1.4
95,2021-01-23 00:05:00.0,2021-01-23 00:42:00.0,2021-01-23 01:30:00.0,12798,B1.3
96,2016-07-24 12:56:00.0,2016-07-24 13:03:00.0,2016-07-24 13:13:00.0,12567,C2.5
97,2013-06-28 16:50:00.0,2013-06-28 17:05:00.0,2013-06-28 17:23:00.0,11778,C1.6
98,2010-08-15 18:52:00.0,2010-08-15 18:57:00.0,2010-08-15 19:06:00.0,11099,B6.4
99,2015-09-16 15:20:00.0,2015-09-16 15:28:00.0,2015-09-16 15:43:00.0,12415,C3.0
100,2014-06-10 10:04:00.0,2014-06-10 10:17:00.0,2014-06-10 10:25:00.0,12087,C5.0
101,2015-07-13 23:45:00.0,2015-07-13 23:48:00.0,2015-07-13 23:50:00.0,12386,B6.3
102,2011-06-06 09:42:00.0,2011-06-06 09:50:00.0,2011-06-06 09:54:00.0,11226,C1.0
103,2013-03-15 15:09:00.0,2013-03-15 15:17:00.0,2013-03-15 15:22:00.0,11696,C1.0
104,2021-09-11 05:11:00.0,2021-09-11 05:19:00.0,2021-09-11 05:28:00.0,12868,C1.3
105,2012-01-18 22:57:00.0,2012-01-18 23:20:00.0,2012-01-18 23:33:00.0,11396,C5.1
106,2011-01-31 19:57:00.0,2011-01-31 20:01:00.0,2011-01-31 20:04:00.0,11150,B1.5
107,2014-09-04 16:21:00.0,2014-09-04 16:32:00.0,2014-09-04 16:48:00.0,12157,C5.7
108,2021-04-12 22:57:00.0,2021-04-12 23:00:00.0,2021-04-12 23:04:00.0,12814,B1.9
109,2011-05-27 17:53:00.0,2011-05-27 18:04:00.0,2011-05-27 18:10:00.0,11226,C1.1
110,2013-02-09 19:25:00.0,2013-02-09 19:29:00.0,2013-02-09 19:35:00.0,11667,B5.5
111,2016-01-16 20:05:00.0,2016-01-16 20:09:00.0,2016-01-16 20:11:00.0,12480,B4.2
112,2011-02-09 22:54:00.0,2011-02-09 23:03:00.0,2011-02-09 23:13:00.0,11153,B7.9
113,2015-06-11 02:31:00.0,2015-06-11 02:43:00.0,2015-06-11 02:51:00.0,12360,C4.6
114,2010-09-28 22:05:00.0,2010-09-28 22:11:00.0,2010-09-28 22:15:00.0,11110,C2.0
115,2015-03-27 14:30:00.0,2015-03-27 14:35:00.0,2015-03-27 14:37:00.0,12309,C1.1
116,2013-09-03 23:57:00.0,2013-09-04 00:03:00.0,2013-09-04 00:07:00.0,11837,B8.5
117,2017-08-30 17:40:00.0,2017-08-30 17:44:00.0,2017-08-30 17:50:00.0,12674,B3.6
118,2012-11-23 19:36:00.0,2012-11-23 19:42:00.0,2012-11-23 19:44:00.0,11618,C1.2
119,2021-05-22 02:47:00.0,2021-05-22 02:56:00.0,2021-05-22 03:00:00.0,12824,C6.1
120,2017-06-19 04:24:00.0,2017-06-19 04:29:00.0,2017-06-19 04:36:00.0,12663,B3.0
121,2021-03-22 21:23:00.0,2021-03-22 21:28:00.0,2021-03-22 21:37:00.0,12811,B1.0
122,2011-04-29 20:40:00.0,2011-04-29 20:48:00.0,2011-04-29 20:58:00.0,11195,C1.8
123,2016-04-14 14:37:00.0,2016-04-14 14:59:00.0,2016-04-14 15:10:00.0,12529,B4.8
124,2014-11-14 05:45:00.0,2014-11-14 05:52:00.0,2014-11-14 05:55:00.0,12208,C3.2
125,2013-06-24 16:36:00.0,2013-06-24 16:41:00.0,2013-06-24 16:44:00.0,11775,C2.0
126,2015-01-29 19:30:00.0,2015-01-29 19:53:00.0,2015-01-29 20:23:00.0,12268,C6.4
127,2015-10-03 03:14:00.0,2015-10-03 03:21:00.0,2015-10-03 03:27:00.0,12427,C1.3
128,2011-10-13 14:49:00.0,2011-10-13 14:53:00.0,2011-10-13 14:55:00.0,11314,B8.6
129,2013-12-19 19:39:00.0,2013-12-19 19:42:00.0,2013-12-19 19:45:00.0,11917,C1.4
130,2013-03-21 18:10:00.0,2013-03-21 18:22:00.0,2013-03-21 18:28:00.0,11692,C3.5
131,2013-02-03 07:43:00.0,2013-02-03 08:18:00.0,2013-02-03 08:53:00.0,11667,C1.5
132,2015-11-06 21:42:00.0,2015-11-06 21:49:00.0,2015-11-06 22:00:00.0,12449,C1.4
133,2017-06-06 20:27:00.0,2017-06-06 20:47:00.0,2017-06-06 20:59:00.0,12661,B5.9
134,2013-05-25 16:48:00.0,2013-05-25 16:52:00.0,2013-05-25 16:55:00.0,11754,B6.2
135,2014-04-23 23:22:00.0,2014-04-23 23:53:00.0,2014-04-24 00:05:00.0,12044,C3.3
136,2020-10-28 23:35:00.0,2020-10-28 23:41:00.0,2020-10-28 23:45:00.0,12779,B4.3
137,2017-01-25 02:15:00.0,2017-01-25 02:20:00.0,2017-01-25 02:24:00.0,12629,B4.6
138,2011-04-11 16:52:00.0,2011-04-11 16:57:00.0,2011-04-11 17:00:00.0,11190,B4.6
139,2013-05-15 13:27:00.0,2013-05-15 13:30:00.0,2013-05-15 13:33:00.0,11745,C1.4
140,2017-07-07 10:40:00.0,2017-07-07 10:49:00.0,2017-07-07 10:52:00.0,12665,B2.5
141,2017-08-26 02:58:00.0,2017-08-26 03:01:00.0,2017-08-26 03:05:00.0,12672,B3.4
142,2013-04-03 17:09:00.0,2013-04-03 17:17:00.0,2013-04-03 17:26:00.0,11713,B9.6
143,2011-11-30 20:20:00.0,2011-11-30 20:28:00.0,2011-11-30 20:39:00.0,11364,C3.8
144,2014-11-22 00:54:00.0,2014-11-22 01:01:00.0,2014-11-22 01:06:00.0,12209,C8.1
145,2013-06-30 02:50:00.0,2013-06-30 02:55:00.0,2013-06-30 02:58:00.0,11781,B6.2
146,2014-11-10 14:38:00.0,2014-11-10 14:41:00.0,2014-11-10 14:50:00.0,12205,C1.2
147,2015-11-08 02:32:00.0,2015-11-08 02:35:00.0,2015-11-08 02:38:00.0,12449,B5.6
148,2017-08-23 19:10:00.0,2017-08-23 19:31:00.0,2017-08-23 19:41:00.0,12672,C1.2
149,2021-07-07 13:29:00.0,2021-07-07 13:38:00.0,2021-07-07 13:43:00.0,12835,B3.0
150,2014-10-03 06:36:00.0,2014-10-03 06:48:00.0,2014-10-03 07:14:00.0,12173,C9.0
151,2016-09-03 00:42:00.0,2016-09-03 01:03:00.0,2016-09-03 01:13:00.0,12585,B6.4
152,2010-12-11 11:14:00.0,2010-12-11 11:17:00.0,2010-12-11 11:20:00.0,11131,B4.0
153,2011-02-01 05:48:00.0,2011-02-01 05:54:00.0,2011-02-01 06:04:00.0,11150,B1.8
154,2016-05-20 08:34:00.0,2016-05-20 08:42:00.0,2016-05-20 08:47:00.0,12546,B3.9
155,2018-08-25 18:29:00.0,2018-08-25 18:33:00.0,2018-08-25 18:37:00.0,12720,B1.0
156,2015-03-19 00:59:00.0,2015-03-19 01:07:00.0,2015-03-19 01:13:00.0,12302,B9.5
157,2015-09-28 21:39:00.0,2015-09-28 21:44:00.0,2015-09-28 21:57:00.0,12422,C4.3
158,2012-10-21 18:42:00.0,2012-10-21 18:45:00.0,2012-10-21 18:48:00.0,11598,C1.2
159,2012-10-24 07:05:00.0,2012-10-24 07:10:00.0,2012-10-24 07:15:00.0,11598,C1.7
160,2013-04-11 00:19:00.0,2013-04-11 00:28:00.0,2013-04-11 00:35:00.0,11711,C1.4
161,2012-01-18 10:16:00.0,2012-01-18 10:30:00.0,2012-01-18 10:45:00.0,11401,C2.4
162,2017-04-01 03:47:00.0,2017-04-01 03:51:00.0,2017-04-01 03:56:00.0,12645,B5.1
163,2017-04-08 01:42:00.0,2017-04-08 01:48:00.0,2017-04-08 01:53:00.0,12650,B3.0
164,2010-05-05 13:00:00.0,2010-05-05 13:04:00.0,2010-05-05 13:07:00.0,11069,B3.4
165,2013-04-27 15:08:00.0,2013-04-27 15:13:00.0,2013-04-27 15:37:00.0,11732,C1.9
166,2015-03-19 12:33:00.0,2015-03-19 13:02:00.0,2015-03-19 13:14:00.0,12297,C1.2
167,2014-04-25 23:54:00.0,2014-04-26 00:42:00.0,2014-04-26 02:03:00.0,12045,C1.6
168,2012-05-10 13:10:00.0,2012-05-10 13:15:00.0,2012-05-10 13:26:00.0,11476,C1.9
169,2016-05-24 08:31:00.0,2016-05-24 08:36:00.0,2016-05-24 08:40:00.0,12546,B9.6
170,2014-02-04 21:28:00.0,2014-02-04 21:35:00.0,2014-02-04 21:42:00.0,11967,C5.5
171,2015-03-26 08:08:00.0,2015-03-26 08:11:00.0,2015-03-26 08:13:00.0,12305,B7.0
172,2013-11-06 22:13:00.0,2013-11-06 22:18:00.0,2013-11-06 22:22:00.0,11890,C1.6
173,2018-06-19 02:23:00.0,2018-06-19 02:26:00.0,2018-06-19 02:28:00.0,12714,B1.0
174,2017-04-05 17:34:00.0,2017-04-05 17:40:00.0,2017-04-05 17:45:00.0,12645,B9.1
