,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
13,0,0.859563131,0.933443972,0.763089563,0.903585371,0.054228381,0.008989247,,,13,0.536312821,0.695969683,0.500634462,0.542546345,0.643641143,0.466004942,0.610700514,,,13,0.044197712,0.045991579,0.039223712,0.041949933,0.044919201,0.045538127,0.045592404
14,0.220132701,0.823510817,0.953815053,0.824799279,0.906592187,0.035722993,0.00971441,,,14,0.567035782,0.749176976,0.459035069,0.456008818,0.702745027,0.456614616,0.660056639,,,14,0.046729602,0.049507663,0.035964482,0.035258811,0.049044014,0.044620502,0.049277131
15,0.297168136,0.843270233,0.908109324,0.719905909,0.91603976,0.108714011,0.02505386,,,15,0.536379212,0.704519862,0.437953965,0.506627111,0.639694537,0.541343037,0.690034761,,,15,0.044203184,0.046556598,0.03431282,0.039172641,0.04464377,0.052900185,0.051515175
16,0.128414127,0.802074775,0.930222689,0.687613486,0.693000186,0.07598752,0.053142107,,,16,0.634283856,0.666767266,0.355110216,0.518741488,0.50421527,0.632903615,0.775786653,,,16,0.052271537,0.044061804,0.027822177,0.04010933,0.035188781,0.061847509,0.057917061
17,0.244782596,0.814048793,0.908700678,0.591909378,0.815646918,0.036432444,0.09565264,,,17,0.792463991,0.646502118,0.304557856,0.402142216,0.516452013,0.698456949,0.913500536,,,17,0.065307213,0.042722627,0.023861501,0.031093821,0.036042773,0.068253399,0.068198216
18,0.261301004,0.829194147,0.903326114,0.426645899,0.803573474,0.079105526,0.112629586,,,18,0.818449342,0.520380802,0.23447963,0.328807793,0.510108911,0.744296792,0.909370157,,,18,0.067448674,0.034388186,0.018371011,0.02542357,0.035600093,0.07273288,0.067889859
19,0.027140031,0.846872273,0.867856294,0.623004709,0.933471254,0.003316797,0.093778894,,,19,0.758632881,0.447711033,0.197082197,0.286852285,0.490739631,0.803733579,0.951669482,,,19,0.06251918,0.029585969,0.015440997,0.02217955,0.034248327,0.078541059,0.071047754
20,0.215395604,0.842141453,0.895925722,0.654533928,0.978136199,0.08617521,0.156959587,,,20,0.74425195,0.338696804,0.149601301,0.244322947,0.318396145,0.889737153,0.974488099,,,20,0.061334043,0.022382011,0.011720964,0.018891162,0.022220612,0.086945351,0.072751298
21,0.211668297,0.816905744,0.881954972,0.675010817,0.701311407,0.07657632,0.189659469,,,21,0.730172212,0.186713988,0.070927067,0.28061413,0.135754823,0.910605834,0.910622553,,,21,0.060173727,0.012338571,0.005556994,0.021697213,0.009474221,0.088984644,0.067983358
22,0.247957814,0.849522068,0.887657507,0.793176765,0.819085686,0.029589757,0.178031612,,,22,0.56672659,0.061068672,0.046849065,0.154223612,0.114676828,0.955494041,0.937554168,,,22,0.046704121,0.004035585,0.003670531,0.01192464,0.008003204,0.093371132,0.069993962
