,R_VALUE,ABSNJZH,MEANJZD,MEANGBT,MEANGAM,MEANJZH,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
13,0.105226634,0.050266624,0.693150259,0.861877165,0.797230315,0.732587099,0.054891107,,,13,0.509757285,0.366069942,0.454212842,0.469574436,0.684279065,0.765148777,0.625507671,,,13,0.04886938,0.033427882,0.038342521,0.039571262,0.042907602,0.052252626,0.047950578
14,0.048350603,0.147427623,0.710766999,0.90201049,0.813070331,0.828370784,0.10522508,,,14,0.482569787,0.46822963,0.44372874,0.423515512,0.75279651,0.601056932,0.682622637,,,14,0.046262971,0.042756651,0.037457502,0.035689855,0.047203977,0.041046662,0.052328935
15,0.151200509,0.129710516,0.770539952,0.791772349,0.784224003,0.861586336,0.155328867,,,15,0.510258045,0.582303198,0.418286754,0.400731749,0.696493891,0.381656362,0.680502602,,,15,0.048917387,0.053173343,0.035309809,0.033769856,0.043673531,0.02606362,0.052166415
16,0.12495185,0.214187885,0.746650099,0.82348263,0.794274134,0.620235726,0.198224322,,,16,0.600019192,0.67383517,0.369834923,0.33754092,0.589831277,0.366265293,0.760365736,,,16,0.057522603,0.061531636,0.031219732,0.028444735,0.03698527,0.025012552,0.058288616
17,0.063198451,0.180855358,0.670624145,0.7913487,0.81905147,0.769160203,0.197156132,,,17,0.700588766,0.873764577,0.239037814,0.255236321,0.608045872,0.469589456,0.91825563,,,17,0.067164001,0.079788302,0.020178453,0.021508887,0.038127413,0.032068642,0.070392243
18,0.154596042,0.135430084,0.742371124,0.823150085,0.866892369,0.634045763,0.239519068,,,18,0.739307374,0.806115865,0.252447288,0.136455619,0.563108768,0.613236714,0.925476945,,,18,0.070875874,0.073610922,0.021310418,0.01149918,0.03530964,0.041878429,0.07094582
19,0.028781374,0.06432145,0.585003362,0.762340036,0.920643853,0.665852326,0.215154138,,,19,0.771310758,0.784294536,0.291561991,0.115583215,0.492423082,0.407848374,0.966450135,,,19,0.073943973,0.071618295,0.024612298,0.009740253,0.030877306,0.027852294,0.074086769
20,0.129044939,0.098529569,0.622691598,0.750026658,0.916389523,0.633516547,0.219430766,,,20,0.874658318,0.889096283,0.284261734,0.138576722,0.36627652,0.252020552,0.976119415,,,20,0.08385169,0.081188325,0.023996044,0.011677927,0.022967307,0.017210686,0.074828003
21,0.105776883,0.162738196,0.777482951,0.705568041,0.924547576,0.640163143,0.222463081,,,21,0.887982106,0.936109178,0.265608218,0.043335986,0.216262428,0.149994418,0.861740043,,,21,0.085129015,0.085481334,0.022421402,0.003651944,0.013560699,0.01024324,0.066059834
22,0.053018689,0.054556693,0.750860906,0.728926067,0.954532074,0.757521338,0.193381203,,,22,0.91410431,0.964958342,0.11001924,0.131711549,0.094395252,0.294523764,0.831089227,,,22,0.087633296,0.088115711,0.009287309,0.011099395,0.005919038,0.020113265,0.063710184
23,0.08054829,0.096197704,0.718225024,0.742503744,0.87726756,0.774464609,0.174639788,,,23,0.911373624,0.956003023,0.109504114,0.153642817,0.04921858,0.35519798,0.815546061,,,23,0.087371511,0.087297951,0.009243824,0.012947554,0.003086243,0.024256756,0.062518666
24,0,0,0.563894222,0.714307245,0.928434359,0.744876932,0.224029553,,,,10.43101593,10.95103618,11.84619143,11.86655188,15.94773481,14.64325982,13.04484113,,,,,,,,,,
25,0.03956245,0.06302657,0.821085838,0.680543595,0.907027466,0.740160258,0.227960718,,,,,,,,,,,,,,,,,,,,
26,0.164889001,0.117152484,0.549578003,0.673704459,0.944421297,0.580927302,0.214953096,,,,,,,,,,,,,,,,,,,,
27,0.129852023,0.173745781,0.768437129,0.694685472,1,0.589199393,0.235746011,,,,,,,,,,,,,,,,,,,,
28,0.172823524,0.160585021,0.69127146,0.719637058,0.954195093,0.515903702,0.331304166,,,,,,,,,,,,,,,,,,,,
29,0.26860908,0.177592042,0.742818546,0.780912777,0.968451145,0.657480142,0.350216521,,,,,,,,,,,,,,,,,,,,
30,0.218410013,0.046663532,0.53315484,0.751410459,0.917676191,0.652436601,0.330433767,,,,,,,,,,,,,,,,,,,,
