,hec_id,time_start,time_peak,time_end,nar,lat_hg,long_hg,long_carr,xray_class,optical_class,is_coincident
18461,20737004,2022-05-18 21:38:00,2022-05-18 21:43:00,2022-05-18 21:45:00,13014.0,22.0,-21.0,103.2,C, SF,True
15854,20734397,2021-06-08 03:09:00,2021-06-08 03:15:00,2021-06-08 03:23:00,12830.0,,,,B,,True
15855,20734398,2021-06-08 03:23:00,2021-06-08 03:38:00,2021-06-08 03:42:00,12830.0,,,,B,,True
4623,73174,2012-08-13 21:44:00,2012-08-13 21:59:00,2012-08-13 22:08:00,11540.0,,,,B,,True
4624,73175,2012-08-13 21:44:00,2012-08-13 21:59:00,2012-08-13 22:08:00,11540.0,,,,B,,True
4853,73404,2012-09-15 21:42:00,2012-09-15 21:47:00,2012-09-15 21:50:00,11573.0,,,,B,,True
4854,73405,2012-09-15 21:42:00,2012-09-15 21:47:00,2012-09-15 21:50:00,11573.0,,,,B,,True
15946,20734489,2021-07-02 06:11:00,2021-07-02 06:17:00,2021-07-02 06:33:00,12837.0,,,,B,,True
11086,20729629,2015-09-16 04:20:00,2015-09-16 05:44:00,2015-09-16 05:58:00,12414.0,,,,C,,True
16781,20735324,2021-10-29 05:43:00,2021-10-29 05:58:00,2021-10-29 06:00:00,12891.0,17.0,-53.0,209.9,C, 1F,True
4819,73370,2012-09-11 08:25:00,2012-09-11 09:32:00,2012-09-11 09:41:00,11567.0,,,,C,,True
15971,20734514,2021-07-04 07:42:00,2021-07-04 07:49:00,2021-07-04 07:52:00,12839.0,18.0,-47.0,-39.6,B, SF,True
18493,20737036,2022-05-23 10:43:00,2022-05-23 10:50:00,2022-05-23 10:54:00,13017.0,15.0,16.0,80.1,C, SF,True
18496,20737039,2022-05-24 09:00:00,2022-05-24 09:05:00,2022-05-24 09:15:00,13017.0,20.0,76.0,127.8,C, 1F,True
17869,20736412,2022-03-14 21:38:00,2022-03-14 21:51:00,2022-03-14 22:07:00,12965.0,24.0,5.0,267.5,C, SF,True
18438,20736981,2022-05-16 23:03:00,2022-05-16 23:14:00,2022-05-16 23:23:00,13011.0,14.0,-36.0,113.9,C, SF,True
14890,20733433,2020-11-03 20:40:00,2020-11-03 20:52:00,2020-11-03 20:54:00,12780.0,19.0,-50.0,276.3,B, SF,True
14891,20733434,2020-11-03 20:54:00,2020-11-03 21:08:00,2020-11-03 21:16:00,12780.0,19.0,-50.0,276.2,B, SF,True
16169,20734712,2021-08-18 18:14:00,2021-08-18 18:23:00,2021-08-18 18:27:00,12858.0,,,,B,,True
17537,20736080,2022-01-31 21:53:00,2022-01-31 21:59:00,2022-01-31 22:02:00,12940.0,15.0,-64.0,31.6,C, SF,True
14657,20733200,2020-01-10 11:52:00,2020-01-10 11:59:00,2020-01-11 01:24:00,12756.0,,,,B,,True
