,TOTUSJH,TOTUSJZ,SAVNCPP,USFLUX,ABSNJZH,TOTPOT,SIZE_ACR,NACR,MEANPOT,SIZE,MEANJZH,SHRGT45,MEANSHR,MEANJZD,MEANALP,MEANGBT,MEANGAM,MEANGBZ,MEANGBH,R_VALUE,T_REC,DATE
hmi.sharp_cea_720s[377][2011.02.11_01:00:00_TAI],48.137,1132117000000.0,274442800000.0,6.45639e+20,3.873,4.414493e+21,34.151577,399,2798.027,324.739563,0.0032602,29.293,36.405,0.04396904,0.01250556,120.774,41.335,122.154,51.898,2.218,2011.02.11_01:00:00_TAI,15016.041666666666
hmi.sharp_cea_720s[377][2011.02.11_01:12:00_TAI],65.174,1403495000000.0,150877700000.0,7.834057e+20,5.968,4.770639e+21,47.933216,560,2719.326,360.440674,0.00451786,22.786,32.83,-0.06502693,0.01515622,132.779,38.288,131.282,59.882,2.069,2011.02.11_01:12:00_TAI,15016.05
hmi.sharp_cea_720s[377][2011.02.11_01:24:00_TAI],65.273,1437016000000.0,181237600000.0,8.376173e+20,7.385,5.133379e+21,49.73214,581,2788.866,373.718628,0.00532802,20.418,32.15,0.25526145,0.01736133,133.228,38.187,132.171,59.785,2.152,2011.02.11_01:24:00_TAI,15016.058333333332
hmi.sharp_cea_720s[377][2011.02.11_01:36:00_TAI],71.072,1589258000000.0,416309500000.0,8.773099e+20,8.746,5.304058e+21,50.075771,585,2743.054,384.256653,0.00600663,20.124,31.828,0.54365796,0.01912862,136.215,38.627,135.684,61.832,1.91,2011.02.11_01:36:00_TAI,15016.066666666668
hmi.sharp_cea_720s[377][2011.02.11_01:48:00_TAI],71.361,1557818000000.0,501085600000.0,9.385231e+20,10.854,6.057059e+21,53.929096,630,2895.802,404.040192,0.00689147,21.968,33.257,0.09098975,0.02226112,130.828,40.088,130.628,59.286,2.602,2011.02.11_01:48:00_TAI,15016.075
hmi.sharp_cea_720s[377][2011.02.11_02:00:00_TAI],77.952,1784406000000.0,510197500000.0,1.05374e+21,10.075,6.750451e+21,57.440647,671,2797.47,450.108673,0.00554502,19.593,32.424,-0.00958189,0.01909512,127.756,39.544,127.795,59.782,2.363,2011.02.11_02:00:00_TAI,15016.083333333334
hmi.sharp_cea_720s[377][2011.02.11_02:12:00_TAI],87.265,2102020000000.0,213975700000.0,1.132948e+21,4.893,7.81636e+21,63.691353,744,2900.748,573.393372,0.00241139,21.932,34.023,0.20584144,0.00880565,125.519,41.276,124.787,59.347,2.697,2011.02.11_02:12:00_TAI,15016.091666666667
hmi.sharp_cea_720s[377][2011.02.11_02:24:00_TAI],91.399,2164270000000.0,327686000000.0,1.195627e+21,4.379,7.982663e+21,69.001205,806,2820.667,663.815552,0.00205473,21.727,33.51,-0.01203009,0.00755269,125.523,39.798,124.685,60.493,2.821,2011.02.11_02:24:00_TAI,15016.1
hmi.sharp_cea_720s[377][2011.02.11_02:36:00_TAI],95.788,2230925000000.0,264560000000.0,1.202563e+21,4.87,7.577735e+21,76.536995,894,2794.288,792.851379,0.00238589,17.63,31.744,-0.25286812,0.00811324,132.23,38.333,131.483,63.243,3.141,2011.02.11_02:36:00_TAI,15016.108333333334
hmi.sharp_cea_720s[377][2011.02.11_02:48:00_TAI],100.312,2375553000000.0,843191800000.0,1.317936e+21,12.94,8.752798e+21,76.966904,899,2904.691,826.345398,0.0057029,21.287,33.279,0.22288047,0.01966069,128.452,39.61,127.603,62.265,2.774,2011.02.11_02:48:00_TAI,15016.116666666667
hmi.sharp_cea_720s[377][2011.02.11_03:00:00_TAI],105.123,2505907000000.0,460405400000.0,1.373896e+21,9.613,9.757467e+21,80.907043,945,2938.899,875.679626,0.00384515,24.36,34.795,-0.2053404,0.01409836,123.772,42.227,122.399,60.323,2.742,2011.02.11_03:00:00_TAI,15016.125
hmi.sharp_cea_720s[377][2011.02.11_03:12:00_TAI],114.401,2793619000000.0,460188400000.0,1.443955e+21,10.688,1.075115e+22,83.649353,977,3008.353,909.868652,0.00397194,28.094,36.232,-0.17911319,0.01482592,120.018,43.708,120.216,59.05,3.151,2011.02.11_03:12:00_TAI,15016.133333333333
hmi.sharp_cea_720s[377][2011.02.11_03:24:00_TAI],119.752,2785041000000.0,369636200000.0,1.500272e+21,7.917,1.061598e+22,86.819199,1014,3100.736,955.696167,0.0030708,22.459,33.495,-0.11373044,0.01034729,129.168,41.03,129.628,63.679,2.981,2011.02.11_03:24:00_TAI,15016.141666666666
hmi.sharp_cea_720s[377][2011.02.11_03:36:00_TAI],129.627,2970305000000.0,516305400000.0,1.575533e+21,8.751,1.15329e+22,87.249222,1019,3225.902,977.722168,0.00325065,21.508,33.382,0.17200901,0.01086066,131.172,40.544,129.253,64.954,2.859,2011.02.11_03:36:00_TAI,15016.15
hmi.sharp_cea_720s[377][2011.02.11_03:48:00_TAI],134.85,3054461000000.0,362173600000.0,1.605006e+21,9.84,1.263361e+22,91.789902,1072,3446.719,1024.159546,0.0035651,25.797,35.239,0.00479138,0.01161922,128.74,43.344,129.184,65.563,3.098,2011.02.11_03:48:00_TAI,15016.158333333333
hmi.sharp_cea_720s[377][2011.02.11_04:00:00_TAI],144.164,3287859000000.0,668112300000.0,1.718514e+21,11.684,1.293301e+22,94.959976,1109,3302.27,1069.648438,0.00396216,23.499,34.377,0.22616743,0.01286928,124.392,42.597,124.121,64.567,3.041,2011.02.11_04:00:00_TAI,15016.166666666666
hmi.sharp_cea_720s[377][2011.02.11_04:12:00_TAI],145.925,3173509000000.0,770033500000.0,1.738574e+21,8.265,1.278937e+22,106.436913,1243,3354.311,1215.675659,0.00287894,22.71,33.666,0.52337307,0.00881017,128.709,42.178,129.88,66.948,3.299,2011.02.11_04:12:00_TAI,15016.175
hmi.sharp_cea_720s[377][2011.02.11_04:24:00_TAI],150.818,3341580000000.0,743828900000.0,1.718384e+21,2.86,1.293064e+22,105.668686,1234,3445.367,1240.108521,-0.00101211,22.647,34.01,0.42156467,-0.00302605,127.521,42.725,129.231,69.195,3.217,2011.02.11_04:24:00_TAI,15016.183333333332
hmi.sharp_cea_720s[377][2011.02.11_04:36:00_TAI],160.218,3370543000000.0,962421200000.0,1.761022e+21,8.165,1.367999e+22,103.786682,1212,3608.005,1262.738037,-0.00286003,24.168,34.424,0.09655536,-0.0082813,130.686,43.188,131.757,70.133,3.267,2011.02.11_04:36:00_TAI,15016.191666666668
hmi.sharp_cea_720s[377][2011.02.11_04:48:00_TAI],169.01,3386429000000.0,403925400000.0,1.693438e+21,2.894,1.246966e+22,101.391525,1184,3608.568,1284.178467,0.00111216,20.792,33.087,0.30290061,0.00293455,141.338,41.754,141.635,75.45,3.161,2011.02.11_04:48:00_TAI,15016.2
hmi.sharp_cea_720s[377][2011.02.11_05:00:00_TAI],181.816,3617670000000.0,1670136000000.0,1.707076e+21,13.795,1.446041e+22,101.650879,1187,4175.039,1291.231689,-0.00528957,24.233,34.472,0.6113407,-0.01371158,142.652,43.477,146.779,79.045,3.334,2011.02.11_05:00:00_TAI,15016.208333333334
hmi.sharp_cea_720s[377][2011.02.11_05:12:00_TAI],182.109,3461393000000.0,649239700000.0,1.826376e+21,10.156,1.436393e+22,104.306793,1218,3956.057,1299.467407,0.00371461,21.836,33.535,0.02509846,0.00950886,138.252,41.576,138.416,75.41,3.487,2011.02.11_05:12:00_TAI,15016.216666666667
hmi.sharp_cea_720s[377][2011.02.11_05:24:00_TAI],185.015,3641469000000.0,1264154000000.0,1.793779e+21,15.219,1.513006e+22,103.709618,1211,4216.41,1313.112793,-0.00563265,22.539,34.218,0.57771635,-0.01435061,139.516,43.035,143.002,77.413,3.466,2011.02.11_05:24:00_TAI,15016.225
hmi.sharp_cea_720s[377][2011.02.11_05:36:00_TAI],177.437,3304450000000.0,189606400000.0,1.793225e+21,6.076,1.376187e+22,105.852402,1236,4087.775,1324.182739,0.00239682,18.107,31.572,0.03635763,0.00558496,142.366,40.18,141.612,79.906,3.383,2011.02.11_05:36:00_TAI,15016.233333333334
hmi.sharp_cea_720s[377][2011.02.11_05:48:00_TAI],189.326,3496290000000.0,2394931000000.0,1.726185e+21,28.302,1.559018e+22,107.309998,1253,4729.736,1343.730103,-0.01140276,22.2,33.627,0.86924887,-0.02633658,145.261,43.014,151.438,81.21,3.581,2011.02.11_05:48:00_TAI,15016.241666666667
hmi.sharp_cea_720s[377][2011.02.11_06:00:00_TAI],205.205,3602886000000.0,3236920000000.0,1.751636e+21,42.004,1.596357e+22,111.679398,1304,5004.313,1366.873535,-0.01748694,19.4,32.794,0.49206674,-0.03790287,150.514,41.746,157.781,82.879,3.569,2011.02.11_06:00:00_TAI,15016.25
hmi.sharp_cea_720s[377][2011.02.11_06:12:00_TAI],215.009,3758085000000.0,3112696000000.0,1.780534e+21,47.821,1.624678e+22,112.366493,1312,4987.206,1377.003418,-0.01949482,20.709,33.141,0.77264333,-0.04214475,152.862,41.759,160.041,85.271,3.539,2011.02.11_06:12:00_TAI,15016.258333333333
hmi.sharp_cea_720s[377][2011.02.11_06:24:00_TAI],204.638,3532759000000.0,2475383000000.0,1.755322e+21,44.101,1.601643e+22,117.334869,1370,5108.074,1420.437134,-0.01867887,19.822,32.371,0.55320996,-0.03888737,154.977,42.063,164.904,84.154,3.129,2011.02.11_06:24:00_TAI,15016.266666666666
hmi.sharp_cea_720s[377][2011.02.11_06:36:00_TAI],213.556,3652845000000.0,2018024000000.0,1.769421e+21,34.281,1.555632e+22,117.507439,1372,5112.922,1435.697632,-0.01496331,17.896,31.248,0.45667347,-0.02950367,161.559,40.698,170.51,89.895,3.242,2011.02.11_06:36:00_TAI,15016.275
hmi.sharp_cea_720s[377][2011.02.11_06:48:00_TAI],203.568,3484735000000.0,3004865000000.0,1.747681e+21,49.047,1.514577e+22,117.594673,1373,5082.249,1452.418457,-0.02185702,16.667,30.699,0.17259675,-0.0425721,161.752,40.447,171.495,88.679,3.425,2011.02.11_06:48:00_TAI,15016.283333333333
hmi.sharp_cea_720s[377][2011.02.11_07:00:00_TAI],210.95,3453189000000.0,3009403000000.0,1.734323e+21,50.09,1.597487e+22,117.595642,1373,5457.744,1470.93042,-0.02272696,16.515,30.632,-0.01239648,-0.04382743,161.319,40.706,171.047,92.172,3.281,2011.02.11_07:00:00_TAI,15016.291666666666
hmi.sharp_cea_720s[377][2011.02.11_07:12:00_TAI],205.578,3388805000000.0,2300456000000.0,1.710472e+21,44.268,1.644384e+22,120.337227,1405,5711.254,1479.848145,-0.02041894,16.79,30.529,0.29103792,-0.03942924,161.876,40.823,171.03,94.546,3.238,2011.02.11_07:12:00_TAI,15016.3
hmi.sharp_cea_720s[377][2011.02.11_07:24:00_TAI],204.726,3357821000000.0,672818700000.0,1.753759e+21,14.446,1.478484e+22,119.995773,1401,5149.304,1501.61731,-0.00668169,13.414,29.08,-0.20244454,-0.0125036,165.039,38.818,171.688,94.135,3.092,2011.02.11_07:24:00_TAI,15016.308333333332
hmi.sharp_cea_720s[377][2011.02.11_07:36:00_TAI],199.232,3421879000000.0,2370406000000.0,1.713205e+21,33.459,1.651143e+22,121.966232,1424,5422.107,1524.235352,-0.01459198,19.669,32.484,0.49201071,-0.02992084,153.804,42.878,160.543,89.148,3.22,2011.02.11_07:36:00_TAI,15016.316666666668
hmi.sharp_cea_720s[377][2011.02.11_07:48:00_TAI],185.045,3472749000000.0,2532092000000.0,1.719552e+21,30.354,1.70706e+22,123.594437,1443,5017.152,1535.637329,-0.01184769,25.488,36.033,0.02189663,-0.02781729,140.11,46.741,143.77,82.237,3.398,2011.02.11_07:48:00_TAI,15016.325
hmi.sharp_cea_720s[377][2011.02.11_08:00:00_TAI],179.252,3449922000000.0,2235935000000.0,1.722052e+21,29.326,1.680678e+22,124.536781,1454,4882.441,1561.848755,-0.011314,25.502,35.662,-0.09096242,-0.0270454,139.627,47.019,143.232,82.171,3.297,2011.02.11_08:00:00_TAI,15016.333333333334
hmi.sharp_cea_720s[377][2011.02.11_08:12:00_TAI],172.99,3315107000000.0,1182581000000.0,1.793101e+21,12.479,1.539507e+22,126.335464,1475,4576.504,1591.398682,-0.00492642,18.081,32.419,-0.25351641,-0.01114075,146.932,43.654,148.273,86.124,3.375,2011.02.11_08:12:00_TAI,15016.341666666667
hmi.sharp_cea_720s[377][2011.02.11_08:24:00_TAI],180.008,3340570000000.0,852590300000.0,1.851232e+21,8.759,1.505005e+22,124.964897,1459,4633.071,1613.323364,-0.00358111,13.737,30.044,-0.26904124,-0.0076142,155.349,39.848,156.811,89.652,3.386,2011.02.11_08:24:00_TAI,15016.35
hmi.sharp_cea_720s[377][2011.02.11_08:36:00_TAI],171.577,3389211000000.0,1576849000000.0,1.872351e+21,17.313,1.635935e+22,133.101929,1554,4785.695,1653.495972,-0.00672621,16.084,30.997,0.1998226,-0.01507943,152.748,42.15,156.286,87.235,3.3,2011.02.11_08:36:00_TAI,15016.358333333334
hmi.sharp_cea_720s[377][2011.02.11_08:48:00_TAI],184.033,3568462000000.0,1873567000000.0,1.88874e+21,22.422,1.63558e+22,133.015762,1553,4670.346,1663.853394,-0.008503,17.52,31.861,0.26372284,-0.01947539,153.175,42.388,155.887,87.291,3.348,2011.02.11_08:48:00_TAI,15016.366666666667
hmi.sharp_cea_720s[377][2011.02.11_09:00:00_TAI],186.146,3725727000000.0,1768343000000.0,1.935906e+21,22.394,1.650388e+22,134.556778,1571,4567.146,1676.178345,-0.00822989,17.31,31.628,0.45506835,-0.01925997,150.15,41.554,153.04,85.06,3.108,2011.02.11_09:00:00_TAI,15016.375
hmi.sharp_cea_720s[377][2011.02.11_09:12:00_TAI],192.713,3896909000000.0,1509364000000.0,1.997965e+21,14.374,1.856733e+22,142.008011,1658,4755.429,1702.211914,-0.00488901,20.17,33.123,0.38693985,-0.0119884,146.106,43.994,150.094,81.875,3.252,2011.02.11_09:12:00_TAI,15016.383333333333
hmi.sharp_cea_720s[377][2011.02.11_09:24:00_TAI],200.964,4285364000000.0,1122682000000.0,2.076056e+21,18.126,1.937377e+22,144.490753,1687,4547.445,1723.439819,-0.00565211,23.691,34.932,0.62778026,-0.01470185,142.182,44.735,145.788,80.903,3.602,2011.02.11_09:24:00_TAI,15016.391666666666
hmi.sharp_cea_720s[377][2011.02.11_09:36:00_TAI],210.019,4449121000000.0,1254730000000.0,2.188448e+21,15.954,1.99078e+22,152.711746,1783,4398.566,1813.355591,-0.00468144,21.684,34.087,0.71828103,-0.0126446,143.698,44.135,147.995,79.922,3.425,2011.02.11_09:36:00_TAI,15016.4
hmi.sharp_cea_720s[377][2011.02.11_09:48:00_TAI],230.744,4846561000000.0,1419232000000.0,2.198717e+21,26.227,2.124418e+22,151.854324,1773,4499.744,1839.124512,-0.00737946,23.235,35.142,0.31032616,-0.02075844,140.091,45.496,145.043,79.277,3.687,2011.02.11_09:48:00_TAI,15016.408333333333
hmi.sharp_cea_720s[377][2011.02.11_10:00:00_TAI],233.087,4975006000000.0,1475372000000.0,2.202367e+21,32.488,2.25131e+22,150.396606,1756,4519.347,1872.763184,-0.00866107,27.886,37.935,0.42996162,-0.02557253,134.744,48.23,138.4,76.749,3.768,2011.02.11_10:00:00_TAI,15016.416666666666
hmi.sharp_cea_720s[377][2011.02.11_10:12:00_TAI],240.645,5438069000000.0,591543200000.0,2.241338e+21,24.753,2.473663e+22,156.561264,1828,4423.264,1897.491699,-0.00587815,33.27,40.807,0.1346982,-0.01946596,122.055,51.194,126.425,71.051,3.789,2011.02.11_10:12:00_TAI,15016.425
hmi.sharp_cea_720s[377][2011.02.11_10:24:00_TAI],246.174,5787252000000.0,858871900000.0,2.347449e+21,20.654,2.639811e+22,165.381256,1931,4345.744,1970.100952,-0.00451549,34.915,41.332,0.24755019,-0.01580317,120.049,51.712,122.112,70.417,3.785,2011.02.11_10:24:00_TAI,15016.433333333332
hmi.sharp_cea_720s[377][2011.02.11_10:36:00_TAI],258.666,6350510000000.0,1140311000000.0,2.401512e+21,20.875,2.783464e+22,169.832352,1983,4371.038,2015.891968,-0.00435346,36.747,42.157,0.46398649,-0.01563149,118.046,52.699,119.555,71.586,3.662,2011.02.11_10:36:00_TAI,15016.441666666668
hmi.sharp_cea_720s[377][2011.02.11_10:48:00_TAI],259.181,6229534000000.0,1201002000000.0,2.464791e+21,26.587,2.792021e+22,176.253632,2058,4468.343,2049.355225,-0.00565077,35.282,41.717,0.49803677,-0.01921923,123.321,51.986,125.56,72.889,3.529,2011.02.11_10:48:00_TAI,15016.45
hmi.sharp_cea_720s[377][2011.02.11_11:00:00_TAI],276.341,6520260000000.0,1031540000000.0,2.570905e+21,11.711,2.834268e+22,179.590759,2097,4551.434,2088.631104,-0.00249749,32.331,39.942,0.42923033,-0.00808593,125.256,50.192,128.252,73.322,3.456,2011.02.11_11:00:00_TAI,15016.458333333334
hmi.sharp_cea_720s[377][2011.02.11_11:12:00_TAI],295.11,6950700000000.0,601296900000.0,2.658673e+21,7.225,2.890112e+22,189.264999,2210,4452.163,2133.641846,-0.00147813,33.511,40.378,0.24002126,-0.00479252,124.701,50.612,127.842,72.827,3.583,2011.02.11_11:12:00_TAI,15016.466666666667
hmi.sharp_cea_720s[377][2011.02.11_11:24:00_TAI],311.165,7196889000000.0,2231498000000.0,2.671583e+21,27.137,3.084604e+22,199.110031,2325,4668.677,2186.013916,-0.0054547,36.543,42.061,0.4886463,-0.01759384,124.793,52.628,128.139,74.784,3.806,2011.02.11_11:24:00_TAI,15016.475
hmi.sharp_cea_720s[377][2011.02.11_11:36:00_TAI],302.517,7019700000000.0,1135035000000.0,2.752965e+21,7.396,3.126747e+22,210.06781,2453,4700.34,2248.316406,-0.00147661,35.576,41.374,0.28390056,-0.00463857,124.828,51.074,127.322,75.5,3.718,2011.02.11_11:36:00_TAI,15016.483333333334
hmi.sharp_cea_720s[377][2011.02.11_11:48:00_TAI],313.611,7190869000000.0,1493199000000.0,2.798017e+21,18.331,2.913988e+22,210.920883,2463,4467.92,2294.696045,-0.00373264,30.34,38.489,0.1669264,-0.01126473,127.584,48.739,130.716,76.001,3.544,2011.02.11_11:48:00_TAI,15016.491666666667
hmi.sharp_cea_720s[377][2011.02.11_12:00:00_TAI],315.361,7256131000000.0,1610881000000.0,2.855063e+21,4.407,3.103e+22,213.657761,2495,4667.437,2338.160889,-0.00088028,32.201,39.434,0.11604621,-0.00260187,127.769,49.82,131.557,77.383,3.732,2011.02.11_12:00:00_TAI,15016.5
hmi.sharp_cea_720s[377][2011.02.11_12:12:00_TAI],346.303,7787447000000.0,3046241000000.0,2.951087e+21,33.268,3.332157e+22,221.530624,2587,4988.212,2429.643799,-0.00661398,32.266,39.384,0.46391732,-0.01878791,130.798,49.171,135.739,80.692,3.667,2011.02.11_12:12:00_TAI,15016.508333333333
hmi.sharp_cea_720s[377][2011.02.11_12:24:00_TAI],349.674,7778440000000.0,3068936000000.0,3.036408e+21,32.782,3.088909e+22,220.242325,2572,4641.605,2454.948242,-0.00654204,28.058,37.063,0.63610703,-0.01796846,132.516,45.582,135.403,81.457,3.737,2011.02.11_12:24:00_TAI,15016.516666666666
hmi.sharp_cea_720s[377][2011.02.11_12:36:00_TAI],359.751,7623726000000.0,3173326000000.0,2.973808e+21,41.504,3.41343e+22,217.326996,2538,5250.805,2475.798096,-0.00847894,30.889,38.74,0.37426165,-0.02266464,133.393,48.341,137.955,80.758,3.609,2011.02.11_12:36:00_TAI,15016.525
hmi.sharp_cea_720s[377][2011.02.11_12:48:00_TAI],357.757,7432606000000.0,4539790000000.0,3.003529e+21,56.427,3.507224e+22,221.17453,2583,5292.374,2496.198242,-0.01130809,32.345,39.721,0.40096051,-0.03026238,130.79,49.241,134.727,80.008,3.525,2011.02.11_12:48:00_TAI,15016.533333333333
hmi.sharp_cea_720s[377][2011.02.11_13:00:00_TAI],359.271,7094762000000.0,4766866000000.0,2.954348e+21,77.285,3.520145e+22,217.230804,2537,5547.557,2504.533447,-0.01617521,29.95,38.114,0.24500002,-0.04158575,134.613,48.935,140.094,82.251,3.429,2011.02.11_13:00:00_TAI,15016.541666666666
hmi.sharp_cea_720s[377][2011.02.11_13:12:00_TAI],353.454,7156753000000.0,1995132000000.0,3.051553e+21,13.382,3.340072e+22,224.418213,2621,5291.46,2514.322998,-0.00281607,28.571,37.703,0.25989529,-0.00686745,137.015,47.626,140.259,82.907,3.625,2011.02.11_13:12:00_TAI,15016.55
hmi.sharp_cea_720s[377][2011.02.11_13:24:00_TAI],383.711,7735743000000.0,5487849000000.0,2.970199e+21,84.809,3.900999e+22,225.611771,2635,5983.708,2532.331543,-0.01727627,33.306,40.25,0.52296746,-0.04499301,133.705,50.605,139.467,83.643,3.571,2011.02.11_13:24:00_TAI,15016.558333333332
hmi.sharp_cea_720s[377][2011.02.11_13:36:00_TAI],390.024,7431398000000.0,4808785000000.0,2.985015e+21,83.469,3.839936e+22,226.121201,2641,6080.803,2545.211914,-0.01755392,31.083,38.792,0.64484066,-0.04397403,138.327,49.046,141.003,86.599,3.606,2011.02.11_13:36:00_TAI,15016.566666666668
hmi.sharp_cea_720s[377][2011.02.11_13:48:00_TAI],392.175,7659846000000.0,5101034000000.0,3.034889e+21,80.55,3.874609e+22,228.684509,2671,6029.202,2567.756348,-0.01664604,28.725,38.045,0.80563694,-0.04205485,139.247,48.259,143.24,86.41,3.669,2011.02.11_13:48:00_TAI,15016.575
hmi.sharp_cea_720s[377][2011.02.11_14:00:00_TAI],393.135,7618022000000.0,5190093000000.0,3.056592e+21,76.324,3.919032e+22,229.70665,2683,6167.148,2590.89917,-0.01595061,28.506,37.513,0.47507969,-0.03930371,142.01,47.713,145.406,88.23,3.666,2011.02.11_14:00:00_TAI,15016.583333333334
hmi.sharp_cea_720s[377][2011.02.11_14:12:00_TAI],393.692,7286330000000.0,4101994000000.0,3.096494e+21,65.213,3.767974e+22,228.075638,2664,6089.796,2607.887451,-0.01399731,25.113,35.433,0.59421974,-0.03307418,145.353,46.39,149.311,89.645,3.628,2011.02.11_14:12:00_TAI,15016.591666666667
hmi.sharp_cea_720s[377][2011.02.11_14:24:00_TAI],381.439,7111969000000.0,4671581000000.0,3.0829e+21,59.426,3.839581e+22,230.125153,2688,6286.486,2621.697266,-0.01292146,25.766,36.115,0.64025086,-0.02984476,144.677,46.994,148.789,89.597,3.811,2011.02.11_14:24:00_TAI,15016.6
hmi.sharp_cea_720s[377][2011.02.11_14:36:00_TAI],385.974,7200842000000.0,5310987000000.0,3.150907e+21,67.443,3.887816e+22,229.348587,2679,6190.474,2662.292725,-0.01426465,26.158,36.409,0.55805779,-0.03310045,143.678,46.708,147.12,88.279,3.711,2011.02.11_14:36:00_TAI,15016.608333333334
